ID, name, year, director, writers, actors 
007552, Mutant World, 2014, David Winning, Matthew Campagna, Kim Coates; Holly Deveaux; Ashanti
007553, Wadjda, 2012, Haifaa Al-Mansour, Haifaa Al-Mansour, Waad Mohammed; Reem Abdullah; Abdullrahman Al Gohani
007554, A Gift of Miracles, 2015, Neill Fearnley, Bart Fisher, Rachel Boston; Jesse Moss; Andrew Airlie
007555, Johnson Family Vacation, 2004, Christopher Erskin, Todd R. Jones; Earl Richey Jones, Cedric the Entertainer; Shannon Elizabeth; Shad Moss
007556, Breakout, 1975, Tom Gries, Howard B. Kreitsek; Marc Norman, Charles Bronson; Robert Duvall; Jill Ireland
007557, Julia, 1977, Fred Zinnemann, Lillian Hellman; Alvin Sargent, Jane Fonda; Vanessa Redgrave; Jason Robards
007558, Rise: Blood Hunter, 2007, Sebastian Gutierrez, Sebastian Gutierrez, Lucy Liu; Michael Chiklis; Carla Gugino
007559, The Hunchback of Notre Dame, 1939, William Dieterle, Sonya Levien; Bruno Frank, Charles Laughton; Maureen O'Hara; Cedric Hardwicke
007560, 4 Months, 3 Weeks and 2 Days, 2007, Cristian Mungiu, Cristian Mungiu; Razvan Radulescu, Anamaria Marinca; Vlad Ivanov; Laura Vasiliu
007561, Dou fo sin, 2007, Wilson Yip, Kam-Yuen Szeto; Lik-Kei Tang, Donnie Yen; Louis Koo; Ray Lui
007562, Low Down, 2014, Jeff Preiss, Amy Albany; Topper Lilien, John Hawkes; Elle Fanning; Glenn Close
007563, Code Name: The Cleaner, 2007, Les Mayfield, Robert Adetuyi; George Gallo, Cedric the Entertainer; Lucy Liu; Nicollette Sheridan
007564, Smiley Face, 2007, Gregg Araki, Dylan Haggerty, Anna Faris; John Krasinski; Adam Brody
007565, Everything Before Us, 2015, Wesley Chan; Philip Wang, Wesley Chan; Chris Dinh, Aaron Yoo; Brittany Ishibashi; Brandon Soo Hoo
007566, Monkey Shines, 1988, George A. Romero, Michael Stewart; George A. Romero, Jason Beghe; John Pankow; Kate McNeil
007567, Age of Heroes, 2011, Adrian Vitoria, Ed Scates; Adrian Vitoria, Sean Bean; Danny Dyer; Aksel Hennie
007568, The Toxic Avenger, 1984, Michael Herz; Lloyd Kaufman, Lloyd Kaufman; Joe Ritter, Andree Maranda; Mitch Cohen; Jennifer Babtist
007569, The Lake, 2016, Steven Quale, Luc Besson; Richard Wenk, Marko Paradzik; Sullivan Stapleton; Marc Hodapp
007570, Bird People, 2014, Pascale Ferran, Guillaume Bréaud; Pascale Ferran, Josh Charles; Anaïs Demoustier; Roschdy Zem
007571, Bilal, 2015, Khurram H. Alavi, Ayman Jamal; Ayman Jamal, Ian McShane; Adewale Akinnuoye-Agbaje; Thomas Ian Nicholas
007572, Running Scared, 1986, Peter Hyams, Gary DeVore; Gary DeVore, Gregory Hines; Billy Crystal; Steven Bauer
007573, Bir zamanlar Anadolu'da, 2011, Nuri Bilge Ceylan, Ebru Ceylan; Nuri Bilge Ceylan, Muhammet Uzuner; Yilmaz Erdogan; Taner Birsel
007574, The Weight of Water, 2000, Kathryn Bigelow, Anita Shreve; Alice Arlen, Catherine McCormack; Sean Penn; Sarah Polley
007575, Margot at the Wedding, 2007, Noah Baumbach, Noah Baumbach, Nicole Kidman; Jennifer Jason Leigh; Flora Cross
007576, Cherry 2000, 1987, Steve De Jarnatt, Lloyd Fonvielle; Michael Almereyda, Melanie Griffith; David Andrews; Pamela Gidley
007577, Suspect Zero, 2004, E. Elias Merhige, Zak Penn; Zak Penn, Aaron Eckhart; Ben Kingsley; Carrie-Anne Moss
007578, Highlander II: The Quickening, 1991, Russell Mulcahy, Gregory Widen; Brian Clemens, Christopher Lambert; Sean Connery; Virginia Madsen
007579, The Hobbit, 1977, Jules Bass; Arthur Rankin Jr., J.R.R. Tolkien; Romeo Muller, Orson Bean; John Huston; Brother Theodore
007580, Zorba the Greek, 1964, Mihalis Kakogiannis, Nikos Kazantzakis; Mihalis Kakogiannis, Anthony Quinn; Alan Bates; Irene Papas
007581, Iron Sky: The Coming Race, 2016, Timo Vuorensola, Dalan Musson; Timo Vuorensola, Tom Green; Julia Dietze; Udo Kier
007582, Slackers, 2002, Dewey Nicks, David H. Steinberg, Devon Sawa; Robert B. Martin Jr.; Jason Segel
007583, The Neverending Story III, 1994, Peter MacDonald, Jeff Lieberman; Karin Howard, Jason James Richter; Melody Kay; Jack Black
007584, Firehouse Dog, 2007, Todd Holland, Claire-Dee Lim; Mike Werb, Josh Hutcherson; Bruce Greenwood; Bree Turner
007585, Pollyanna, 1960, David Swift, Eleanor H. Porter; David Swift, Jane Wyman; Hayley Mills; Richard Egan
007586, Ca$h, 2010, Stephen Milburn Anderson, Stephen Milburn Anderson, Sean Bean; Chris Hemsworth; Victoria Profeta
007587, The Pink Panther Strikes Again, 1976, Blake Edwards, Frank Waldman; Blake Edwards, Peter Sellers; Herbert Lom; Lesley-Anne Down
007588, Stranger Than Paradise, 1984, Jim Jarmusch, Jim Jarmusch, John Lurie; Eszter Balint; Richard Edson
007589, The Tenant, 1976, Roman Polanski, Roland Topor; Gérard Brach, Roman Polanski; Isabelle Adjani; Melvyn Douglas
007590, Radio Rebel, 2012, Peter Howitt, Danielle Joseph; Erik Patterson, Debby Ryan; Sarena Parmar; Adam DiMarco
007591, Beneath the Planet of the Apes, 1970, Ted Post, Paul Dehn; Mort Abrahams, James Franciscus; Kim Hunter; Maurice Evans
007592, The Hidden Face, 2011, Andrés Baiz, Andrés Baiz; Arturo Infante, Quim Gutiérrez; Martina García; María Soledad Rodríguez
007593, Peeping Tom, 1960, Michael Powell, Leo Marks; Leo Marks, Karlheinz Böhm; Anna Massey; Moira Shearer
007594, The Greatest Story Ever Told, 1965, George Stevens; David Lean, Fulton Oursler; Henry Denker, Max von Sydow; Dorothy McGuire; Charlton Heston
007595, Electrick Children, 2012, Rebecca Thomas, Rebecca Thomas, Julia Garner; Liam Aiken; Billy Zane
007596, A Madea Christmas, 2013, Tyler Perry, Tyler Perry; Tyler Perry, Tyler Perry; Chad Michael Murray; Tika Sumpter
007597, Creation(I), 2009, Jon Amiel, John Collee; Jon Amiel, Paul Bettany; Jennifer Connelly; Ian Kelly
007598, Ready to Wear, 1994, Robert Altman, Robert Altman; Barbara Shulgasser, Sophia Loren; Julia Roberts; Marcello Mastroianni
007599, 1776, 1972, Peter H. Hunt, Sherman Edwards; Peter Stone, William Daniels; Howard Da Silva; Ken Howard
007600, Atomic Hotel Erotica, 2014, Dean McKendrick, Dean McKendrick, Krissy Lynn; Sophia Bella; Mary Carey
007601, Go with Me, 2015, Daniel Alfredson, Castle Freeman Jr.; Joe Gangemi, Julia Stiles; Anthony Hopkins; Alexander Ludwig
007602, Cradle Will Rock, 1999, Tim Robbins, Tim Robbins, Hank Azaria; Rubén Blades; Joan Cusack
007603, The Slumber Party Massacre, 1982, Amy Holden Jones, Rita Mae Brown, Michelle Michaels; Robin Stille; Michael Villella
007604, Ghost in the Shell 2: Innocence(I), 2004, Mamoru Oshii, Masamune Shirow; Mamoru Oshii, Akio Ôtsuka; Atsuko Tanaka; Tamio Ôki
007605, 7 días en La Habana, 2012, Laurent Cantet; Benicio Del Toro, Laurent Cantet; Alejandro Fadel, Josh Hutcherson; Vladimir Cruz; Magali Wilson
007606, Kundun, 1997, Martin Scorsese, Melissa Mathison, Tenzin Thuthob Tsarong; Gyurme Tethong; Tulku Jamyang Kunga Tenzin
007607, As You Like It, 2006, Kenneth Branagh, Kenneth Branagh; William Shakespeare, Takuya Shimada; Brian Blessed; Richard Clifford
007608, Make Your Move, 2013, Duane Adler, Duane Adler, Derek Hough; BoA; Will Yun Lee
007609, The Stepford Wives, 1975, Bryan Forbes, Ira Levin; William Goldman, Katharine Ross; Paula Prentiss; Peter Masterson
007610, Romper Stomper, 1992, Geoffrey Wright, Geoffrey Wright, Russell Crowe; Daniel Pollock; Jacqueline McKenzie
007611, Three Seconds, , Otto Bathurst, Matt Cook; Börge Hellström, Olivia Munn; Josh Brolin; Luke Evans
007612, The Town That Dreaded Sundown, 1976, Charles B. Pierce, Earl E. Smith, Ben Johnson; Andrew Prine; Dawn Wells
007613, Authors Anonymous, 2014, Ellie Kanner, David Congalton, Kaley Cuoco; Tricia Helfer; Teri Polo
007614, High Spirits, 1988, Neil Jordan, Neil Jordan, Peter O'Toole; Daryl Hannah; Steve Guttenberg
007615, Damsels in Distress, 2011, Whit Stillman, Whit Stillman, Greta Gerwig; Adam Brody; Analeigh Tipton
007616, Bin Roye, 2015, Momina Duraid; Shehzad Kashmiri, Farhat Ishtiaq, Zeba Bakhtiar; Adeel Hussain; Armeena Rana Khan
007617, Brown Sugar, 2002, Rick Famuyiwa, Michael Elliot; Michael Elliot, Taye Diggs; Sanaa Lathan; Yasiin Bey
007618, Delicatessen, 1991, Marc Caro; Jean-Pierre Jeunet, Gilles Adrien; Gilles Adrien, Marie-Laure Dougnac; Dominique Pinon; Pascal Benezech
007619, Krigen, 2015, Tobias Lindholm, Tobias Lindholm, Pilou Asbæk; Tuva Novotny; Dar Salim
007620, The Man Without a Face, 1993, Mel Gibson, Isabelle Holland; Malcolm MacRury, Mel Gibson; Nick Stahl; Margaret Whitton
007621, The Shrine, 2010, Jon Knautz, Jon Knautz; Brendan Moore, Aaron Ashmore; Cindy Sampson; Meghan Heffern
007622, When a Stranger Calls, 1979, Fred Walton, Steve Feke; Fred Walton, Carol Kane; Charles Durning; Rutanya Alda
007623, Break Point, 2014, Jay Karas, Gene Hong; Gene Hong, Jeremy Sisto; David Walton; Adam DeVine
007624, The Reckoning(II), 2002, Paul McGuigan, Barry Unsworth; Mark Mills, Willem Dafoe; Paul Bettany; Marian Aguilera
007625, Surviving the Game, 1994, Ernest R. Dickerson, Eric Bernt, Rutger Hauer; Ice-T; Charles S. Dutton
007626, Circle(II), 2015, Aaron Hann; Mario Miscione, Aaron Hann; Mario Miscione, Julie Benz; Mercy Malick; Carter Jenkins
007627, Wild Bill, 1995, Walter Hill, Peter Dexter; Thomas Babe, Jeff Bridges; Ellen Barkin; John Hurt
007628, Minecraft, , , , 
007629, Twilight, 1998, Robert Benton, Robert Benton; Richard Russo, Paul Newman; Susan Sarandon; Gene Hackman
007630, The Shack, , Stuart Hazeldine, John Fusco; William Paul Young, Sam Worthington; Radha Mitchell; Octavia Spencer
007631, Wild America, 1997, William Dear, David Michael Wieger, Jonathan Taylor Thomas; Devon Sawa; Scott Bairstow
007632, Hell Ride, 2008, Larry Bishop, Larry Bishop, Larry Bishop; Dennis Hopper; Michael Madsen
007633, Black Knight, 2001, Gil Junger, Darryl Quarles; Peter Gaulke, Martin Lawrence; Marsha Thomason; Tom Wilkinson
007634, For Your Consideration, 2006, Christopher Guest, Christopher Guest; Eugene Levy, Catherine O'Hara; Parker Posey; Christopher Guest
007635, Ice Castles, 1978, Donald Wrye, Donald Wrye; Gary L. Baim, Lynn-Holly Johnson; Robby Benson; Colleen Dewhurst
007636, Mamula, 2014, Milan Todorovic, Marko Backovic; Barry Keating, Kristina Klebe; Franco Nero; Natalie Burn
007637, Two Brothers, 2004, Jean-Jacques Annaud, Alain Godard; Jean-Jacques Annaud, Guy Pearce; Freddie Highmore; Jean-Claude Dreyfus
007638, Dreamer: Inspired by a True Story, 2005, John Gatins, John Gatins, Kurt Russell; Dakota Fanning; Oded Fehr
007639, Convict, 2014, David Field and George Basha; George Basha, George Basha, George Basha; Richard Green; Brian Ellison
007640, Horrid Henry: The Movie, 2011, Nick Moore, Tony Ross; Francesca Simon, Theo Stevenson; Richard E. Grant; Parminder Nagra
007641, Wuthering High School, 2015, Anthony DiBlasi, Delondra Williams, Paloma Kwiatkowski; Andrew Jacobs; Matthew Boehm
007642, Starve, 2014, Griff Furst, Xander Wolf, Mariah Bonner; Bobby Campo; Catherine Cappiello
007643, The Mystery of Spoon River, 2000, Scott A. Meehan, Scott A. Meehan, Lauren Sinclair; Brian McNamara; Michael Monks
007644, Black Hole, , , , 
007645, Everyone's Hero, 2006, Colin Brady; Christopher Reeve, Robert Kurtz; Jeff Hand, Jake T. Austin; Brian Dennehy; Whoopi Goldberg
007646, Gridlocked, 2015, Allan Ungar, Rob Robol; Allan Ungar, Dominic Purcell; Cody Hackman; Stephen Lang
007647, Battle in Seattle, 2007, Stuart Townsend, Stuart Townsend, André Benjamin; Jennifer Carpenter; Isaach De Bankolé
007648, The Inevitable Defeat of Mister &amp; Pete, 2013, George Tillman Jr., Michael Starrbury, Skylan Brooks; Ethan Dizon; Jordin Sparks
007649, Housefull 3, 2016, Farhad; Sajid, , Nargis Fakhri; Akshay Kumar; Jacqueline Fernandez
007650, Strange Brew, 1983, Rick Moranis; Dave Thomas, Rick Moranis; Dave Thomas, Rick Moranis; Dave Thomas; Max von Sydow
007651, Exodus to Shanghai, 2015, Anthony Hickox, Michel Adam, Yaara Benbenishty; Alexandre Nguyen; Markus von Lingen
007652, Blue-Eyed Butcher, 2012, Stephen Kay, Michael J. Murray; Jamie Pachino, Sara Paxton; Justin Bruening; W. Earl Brown
007653, Rampage: Capital Punishment, 2014, Uwe Boll, Uwe Boll; Uwe Boll, Brendan Fletcher; Lochlyn Munro; Mike Dopud
007654, Mr. Nice Guy, 1997, Sammo Kam-Bo Hung, Fibe Ma; Edward Tang, Jackie Chan; Richard Norton; Miki Lee
007655, Journey Into Fear, 1943, Norman Foster; Orson Welles, Orson Welles; Joseph Cotten, Orson Welles; Joseph Cotten; Dolores del Rio
007656, The Killers, 1946, Robert Siodmak, Anthony Veiller; Ernest Hemingway, Burt Lancaster; Ava Gardner; Edmond O'Brien
007657, Space Milkshake, 2012, Armen Evrensel, Armen Evrensel, Kristin Kreuk; Amanda Tapping; George Takei
007658, The Seeker: The Dark Is Rising, 2007, David L. Cunningham, John Hodge; Susan Cooper, Alexander Ludwig; Ian McShane; Christopher Eccleston
007659, The L-Shaped Room, 1962, Bryan Forbes, Lynne Reid Banks; Bryan Forbes, Leslie Caron; Anthony Booth; Avis Bunnage
007660, Geography Club, 2013, Gary Entin, Edmund Entin; Brent Hartinger, Cameron Deane Stewart; Justin Deeley; Meaghan Martin
007661, They Call Me Trinity, 1970, Enzo Barboni, Enzo Barboni, Terence Hill; Bud Spencer; Steffen Zacharias
007662, Waar, 2013, Bilal Lashari, Hassan Rana, Shaan Shahid; Hamza Abbasi; Shamoon Abbasi
007663, Atlantic City, 1980, Louis Malle, John Guare, Burt Lancaster; Susan Sarandon; Kate Reid
007664, Magik, 2016, , , Benedict Cumberbatch; Samantha Morton; Matthew Goode
007665, Match, 2014, Stephen Belber, Stephen Belber, Patrick Stewart; Carla Gugino; Matthew Lillard
007666, Maya(V), 2015, Ashwin Saravanan, Ashwin Saravanan, Nayanthara; Aari; Amzath Khan
007667, Sinbad and the Eye of the Tiger, 1977, Sam Wanamaker, Beverley Cross; Beverley Cross, Patrick Wayne; Jane Seymour; Taryn Power
007668, Lilting, 2014, Hong Khaou, Hong Khaou, Pei-Pei Cheng; Ben Whishaw; Andrew Leung
007669, Popoz, 2015, Martijn Smits; Erwin van den Eshof, Wijo Koek; Martijn Smits, Leo Alkemade; Uriah Arnhem; Pierre Bokma
007670, Life on the Line(I), 2015, David Hackl, Primo Brown; Peter I. Horton, John Travolta; Kate Bosworth; Devon Sawa
007671, Point Blank, 1967, John Boorman, Alexander Jacobs; David Newhouse, Lee Marvin; Angie Dickinson; Keenan Wynn
007672, Dr Jekyll &amp; Sister Hyde, 1971, Roy Ward Baker, Robert Louis Stevenson; Brian Clemens, Ralph Bates; Martine Beswick; Gerald Sim
007673, Suburban Commando, 1991, Burt Kennedy, Frank A. Cappello, Hulk Hogan; Christopher Lloyd; Shelley Duvall
007674, Garfield: A Tail of Two Kitties, 2006, Tim Hill, Joel Cohen; Alec Sokolow, Breckin Meyer; Jennifer Love Hewitt; Billy Connolly
007675, ...And God Created Woman, 1956, Roger Vadim, Roger Vadim; Raoul Lévy, Brigitte Bardot; Curd Jürgens; Jean-Louis Trintignant
007676, The Adventures of Huck Finn, 1993, Stephen Sommers, Mark Twain; Stephen Sommers, Elijah Wood; Courtney B. Vance; Robbie Coltrane
007677, The Opposite of Sex, 1998, Don Roos, Don Roos, Christina Ricci; Martin Donovan; Lisa Kudrow
007678, Black Robe, 1991, Bruce Beresford, Brian Moore; Brian Moore, Lothaire Bluteau; Aden Young; Sandrine Holt
007679, Naked, 1993, Mike Leigh, Mike Leigh, David Thewlis; Lesley Sharp; Katrin Cartlidge
007680, Franklyn, 2008, Gerald McMorrow, Gerald McMorrow, Eva Green; Ryan Phillippe; Sam Riley
007681, Samurai Cop 2: Deadly Vengeance, 2015, Gregory Hatanaka, Rich Mallery; Tony T.L. Young, Mathew Karedas; Mark Frazer; Bai Ling
007682, Sweet Adeline, 1934, Mervyn LeRoy, Jerome Kern; Oscar Hammerstein II, Irene Dunne; Donald Woods; Hugh Herbert
007683, Blackbird, 2016, Benedict Andrews, David Harrower, Rooney Mara; Ben Mendelsohn; Indira Varma
007684, Archivo 253, 2015, Abe Rosenberg, Joseph Hemsani; Abe Rosenberg, Anna Cetti; Michel Chauvet; Mario Escalante
007685, Tim and Eric's Billion Dollar Movie, 2012, Tim Heidecker; Eric Wareheim, Tim Heidecker; Eric Wareheim, Tim Heidecker; Eric Wareheim; Robert Loggia
007686, Delirium, 2014, Rodrigo García, Lauren Oliver; Karyn Usher, Emma Roberts; Gregg Sulkin; Billy Campbell
007687, April Fool's Day, 1986, Fred Walton, Danilo Bach, Deborah Foreman; Griffin O'Neal; Clayton Rohner
007688, Avalon High, 2010, Stuart Gillard, Julie Sherman Wolfe; Amy Talkington, Britt Robertson; Samuel Levi; Gregg Sulkin
007689, Courageous, 2013, Sajid Khan, K. Raghavendra Rao; Sajid Khan, Ajay Devgn; Tamannaah Bhatia; Mahesh Manjrekar
007690, Nobody's Fool, 1994, Robert Benton, Richard Russo; Robert Benton, Paul Newman; Bruce Willis; Jessica Tandy
007691, The Age of Innocence, 1934, Philip Moeller, Sarah Y. Mason; Victor Heerman, Irene Dunne; John Boles; Lionel Atwill
007692, Marco Polo(I), , Rob Cohen, , Hayden Christensen
007693, Drowning Mona, 2000, Nick Gomez, Peter Steinfeld, Danny DeVito; Bette Midler; Neve Campbell
007694, 8 Seconds, 1994, John G. Avildsen, Monte Merrick, Luke Perry; Stephen Baldwin; James Rebhorn
007695, 2 Days in Paris, 2007, Julie Delpy, Julie Delpy, Julie Delpy; Adam Goldberg; Daniel Brühl
007696, Jazbaa, 2015, Sanjay Gupta, Robin Bhatt; Sanjay Gupta, Aishwarya Rai Bachchan; Irrfan Khan; Shabana Azmi
007697, Frozen River, 2008, Courtney Hunt, Courtney Hunt, Melissa Leo; Misty Upham; Charlie McDermott
007698, Educating Rita, 1983, Lewis Gilbert, Willy Russell, Michael Caine; Julie Walters; Michael Williams
007699, The Final Girl, 2010, Todd Verow, Todd Verow, Wendy Delorme; Véronique Lindenberg; Judy Minx
007700, The Keep, 1983, Michael Mann, F. Paul Wilson; Michael Mann, Scott Glenn; Ian McKellen; Alberta Watson
007701, Shoot to Kill, 1988, Roger Spottiswoode, Harv Zimmel; Harv Zimmel, Sidney Poitier; Tom Berenger; Kirstie Alley
007702, Schneider vs. Bax, 2015, Alex van Warmerdam, Alex van Warmerdam, Tom Dewispelaere; Alex van Warmerdam; Maria Kraakman
007703, Same Kind of Different as Me, 2016, Michael Carney, Denver Moore; Ron Hall, Renée Zellweger; Jon Voight; Djimon Hounsou
007704, Inherit the Wind, 1960, Stanley Kramer, Nedrick Young; Harold Jacob Smith, Spencer Tracy; Fredric March; Gene Kelly
007705, A Prairie Home Companion, 2006, Robert Altman, Garrison Keillor; Garrison Keillor, Lily Tomlin; Meryl Streep; Woody Harrelson
007706, Cassadaga, 2011, Anthony DiBlasi, Bruce Wood; Bruce Wood, Kelen Coleman; Avis-Marie Barnes; Kevin Alejandro
007707, Astérix and Obélix: God Save Britannia, 2012, Laurent Tirard, René Goscinny; Declan May, Gérard Depardieu; Dany Boon; Edouard Baer
007708, The Blob, 2016, Simon West, , Samuel L. Jackson
007709, Man of the House, 1995, James Orr, David E. Peckinpah; Richard Jefferies, Chevy Chase; Farrah Fawcett; Jonathan Taylor Thomas
007710, Sex, Death and Bowling, 2015, Ally Walker, Ally Walker; Ally Walker, Selma Blair; Adrian Grenier; Bailey Chase
007711, Hamlet 2, 2008, Andrew Fleming, Pam Brady; Andrew Fleming, Steve Coogan; Elisabeth Shue; Catherine Keener
007712, Gurotesuku, 2009, Kôji Shiraishi, Kôji Shiraishi, Kotoha Hiroyama; Hiroaki Kawatsure; Shigeo Ôsako
007713, 23 Blast, 2014, Dylan Baker, Bram Hoover; Toni Hoover, Mark Hapka; Bram Hoover; Stephen Lang
007714, The Hamiltons, 2006, Mitchell Altieri; Phil Flores, Mitchell Altieri; Phil Flores, Cory Knauf; Samuel Child; Joseph McKelheer
007715, The Field, 1990, Jim Sheridan, Jim Sheridan; John B. Keane, Richard Harris; John Hurt; Sean Bean
007716, Survival of the Dead, 2009, George A. Romero, George A. Romero, Alan Van Sprang; Kenneth Welsh; Kathleen Munroe
007717, Death of a Salesman, 1985, Volker Schlöndorff, Arthur Miller; Arthur Miller, Dustin Hoffman; Kate Reid; John Malkovich
007718, Boyka: Undisputed IV, 2015, , David N. White, Scott Adkins; Teodora Duhovnikova; Alon Aboutboul
007719, The Taking of Pelham One Two Three, 1974, Joseph Sargent, John Godey; Peter Stone, Walter Matthau; Robert Shaw; Martin Balsam
007720, Sultan, 2016, Ali Abbas Zafar, , Salman Khan; Deepika Padukone; Kriti Sanon
007721, Unforgettable, 2016, Denise Di Novi, Christina Hodson; David Johnson, Katherine Heigl; Rosario Dawson; Geoff Stults
007722, Quo Vadis, 1951, Mervyn LeRoy; Anthony Mann, John Lee Mahin; S.N. Behrman, Robert Taylor; Deborah Kerr; Leo Genn
007723, East Is East, 1999, Damien O'Donnell, Ayub Khan-Din; Ayub Khan-Din, Om Puri; Linda Bassett; Jordan Routledge
007724, Donkey Punch, 2008, Oliver Blackburn, Oliver Blackburn; David Bloom, Sian Breckin; Nichola Burley; Jaime Winstone
007725, The Killing Room, 2009, Jonathan Liebesman, Gus Krieger; Ann Peacock, Nick Cannon; Clea DuVall; Timothy Hutton
007726, Latter Days, 2003, C. Jay Cox, C. Jay Cox, Wes Ramsey; Steve Sandvoss; Mary Kay Place
007727, Private Valentine: Blonde &amp; Dangerous, 2008, Steve Miner, April Blair; Kelly Bowe, Jessica Simpson; Vivica A. Fox; Steve Guttenberg
007728, The Forest of Hands and Teeth, , Kate Maberly, Kate Maberly; Carrie Ryan, Maisie Williams
007729, Ernest &amp; Celestine, 2012, Stéphane Aubier; Vincent Patar, Gabrielle Vincent; Daniel Pennac, Forest Whitaker; Lambert Wilson; Pauline Brunner
007730, Perfect, 1985, James Bridges, Aaron Latham; Aaron Latham, John Travolta; Jamie Lee Curtis; Ramey Ellis
007731, Sangailes vasara, 2015, Alanté Kavaïté, Alanté Kavaïté, Aiste Dirziute; Julija Steponaityte; Nele Savicenko
007732, Salem's Lot, 2004, Mikael Salomon, Stephen King; Peter Filardi, Rob Lowe; Andre Braugher; Donald Sutherland
007733, Deep Red, 1975, Dario Argento, Dario Argento; Bernardino Zapponi, David Hemmings; Daria Nicolodi; Gabriele Lavia
007734, The Man from Snowy River, 1982, George Miller, A.B. 'Banjo' Paterson; Cul Cullen, Kirk Douglas; Tom Burlinson; Terence Donovan
007735, 6 Miranda Drive, 2016, Greg McLean, Shayne Armstrong; Shane Krause, Kevin Bacon; Radha Mitchell; David Mazouz
007736, The Mooring, 2012, Glenn Withrow, Ivy Withrow; Hallie Todd, Hallie Todd; Thomas Wilson Brown; Karli Blalock
007737, Cube Zero, 2004, Ernie Barbarash, Ernie Barbarash, Zachary Bennett; Stephanie Moore; Martin Roach
007738, Shan he gu ren, 2015, Zhangke Jia, Zhangke Jia, Tao Zhao; Yi Zhang; Jing Dong Liang
007739, The Wild One, 1953, Laslo Benedek, John Paxton; Frank Rooney, Marlon Brando; Mary Murphy; Robert Keith
007740, The Purple Rose of Cairo, 1985, Woody Allen, Woody Allen, Mia Farrow; Jeff Daniels; Danny Aiello
007741, Vanished: Left Behind - Next Generation, 2016, Larry A. McLean, Kim Beyer-Johnson; Joan Considine Johnson, Amber Montana; Mason Dye; Dylan Sprayberry
007742, Un illustre inconnu, 2014, Matthieu Delaporte, Matthieu Delaporte; Alexandre de La Patellière, Mathieu Kassovitz; Marie-Josée Croze; Éric Caravaca
007743, They Died with Their Boots On, 1941, Raoul Walsh, Wally Kline; Æneas MacKenzie, Errol Flynn; Olivia de Havilland; Arthur Kennedy
007744, The Watcher in the Woods, 1980, John Hough; Vincent McEveety, Brian Clemens; Florence Engel Randall, Bette Davis; Lynn-Holly Johnson; Kyle Richards
007745, You May Not Kiss the Bride, 2011, Rob Hedden, Rob Hedden, Dave Annable; Katharine McPhee; Rob Schneider
007746, The Portrait of a Lady, 1996, Jane Campion, Henry James; Laura Jones, Nicole Kidman; John Malkovich; Barbara Hershey
007747, Lucky Bastard, 2014, Robert Nathan, Lukas Kendall; Robert Nathan, Don McManus; Jay Paulson; Betsy Rue
007748, CrazySexyCool: The TLC Story, 2013, Charles Stone III, Kate Lanier, Keke Palmer; Rochelle Aytes; Evan Ross
007749, Supercross, 2005, Steve Boyum, Ken Solarz; Bart Baker, Steve Howey; Mike Vogel; Sophia Bush
007750, Fright Night Part 2, 1988, Tommy Lee Wallace, Tom Holland; Tim Metcalfe, William Ragsdale; Roddy McDowall; Traci Lind
007751, Nothing Left to Fear, 2013, Anthony Leonardi III, Jonathan W.C. Mills, Anne Heche; James Tupper; Ethan Peck
007752, Smoke, 1995, Wayne Wang; Paul Auster, Paul Auster, Harvey Keitel; William Hurt; Giancarlo Esposito
007753, Head in the Clouds, 2004, John Duigan, John Duigan, Charlize Theron; Stuart Townsend; Penélope Cruz
007754, Moonlight Mile, 2002, Brad Silberling, Brad Silberling, Jake Gyllenhaal; Dustin Hoffman; Susan Sarandon
007755, The Barrens, 2012, Darren Lynn Bousman, Darren Lynn Bousman, Stephen Moyer; Mia Kirshner; Allie MacDonald
007756, The Truth About Cats &amp; Dogs, 1996, Michael Lehmann, Audrey Wells, Uma Thurman; Janeane Garofalo; Ben Chaplin
007757, Gods and Monsters, 1998, Bill Condon, Christopher Bram; Bill Condon, Ian McKellen; Brendan Fraser; Lynn Redgrave
007758, Enemies Closer, 2013, Peter Hyams, Eric Bromberg; James Bromberg, Tom Everett Scott; Jean-Claude Van Damme; Orlando Jones
007759, Camp, 2003, Todd Graff, Todd Graff, Don Dixon; Daniel Letterle; Joanna Chilcoat
007760, Quarantine 2: Terminal, 2011, John Pogue, John Pogue; John Erick Dowdle, Mercedes Mason; Josh Cooke; Mattie Liptak
007761, Thomas and the Magic Railroad, 2000, Britt Allcroft, Britt Allcroft; Rev. W. Awdry, Alec Baldwin; Cody McMains; Russell Means
007762, Management, 2008, Stephen Belber, Stephen Belber, Jennifer Aniston; Steve Zahn; Woody Harrelson
007763, The Butterfly Effect 3: Revelations, 2009, Seth Grossman, Holly Brix, Chris Carmack; Rachel Miner; Melissa Jones
007764, The Far Country, 1954, Anthony Mann, Borden Chase, James Stewart; Ruth Roman; Corinne Calvet
007765, Curly Sue, 1991, John Hughes, John Hughes, James Belushi; Kelly Lynch; Alisan Porter
007766, Yours, Mine and Ours, 1968, Melville Shavelson, Bob Carroll Jr.; Madelyn Davis, Lucille Ball; Henry Fonda; Van Johnson
007767, Girl in Progress, 2012, Patricia Riggen, Hiram Martinez, Eva Mendes; Cierra Ramirez; Patricia Arquette
