ID,title,year,director(s),writer(s),actor(s)
8045,Azumi,2003,Ryûhei Kitamura,,Aya Ueto;Shun Oguri;Hiroki Narimiya;Kenji Kohashi
8046,Damien: Omen II,1978,Don Taylor;Mike Hodges,Stanley Mann;Mike Hodges,William Holden;Lee Grant;Jonathan Scott-Taylor;Robert Foxworth
8047,Lego Atlantis,2010,Mark Baldo,,Jeff Bennett;Bruce Boxleitner;Patrick Seitz;Rachael MacFarlane
8048,Glory Daze,1995,Rich Wilkes,Rich Wilkes,Ben Affleck;Alyssa Milano;Sam Rockwell;Megan Ward
8049,Prom Night,2008,Nelson McCormick,J.S. Cardone,Brittany Snow;Scott Porter;Jessica Stroup;Dana Davis
8050,Lone Wolf McQuade,1983,Steve Carver,H. Kaye Dyal;B.J. Nelson,Chuck Norris;David Carradine;Barbara Carrera;Leon Isaac Kennedy
8051,Thank You for Bombing,2015,Barbara Eder,Barbara Eder;Tommy Pridnig,Manon Kahle;Raphael von Bargen;Erwin Steinhauer;Merab Ninidze
8052,Brave Story,2008,Kôichi Chigira,Miyuki Miyabe,Takako Matsu;Eiji Wentz;Miki Imai;Shirô Itô
8053,Werner - Beinhart!,1990,Niki List,Rötger Feldmann;Ernst Kahl,Klaus Büchner;Andi Feldmann;Rötger Feldmann;Meret Becker
8054,The King and I,1956,Walter Lang,Ernest Lehman;Margaret Landon,Deborah Kerr;Yul Brynner;Rita Moreno;Martin Benson
8055,The Importance of Tying Your Own Shoes,2011,Lena Koppel,Trine Piil Christensen;Lena Koppel,Sverrir Gudnason;Vanna Rosenberg;Mats Melin;Theresia Widarsson
8056,Golapi Mukta Rahasya,1999,Sandip Ray,Satyajit Ray,Sabyasachi Chakraborty
8057,1972 Yellow House,2013,Curtis Stone,,CJ Ward;Mark McIntire;Paula Lopez;Megan Dewitt
8058,Game of Thrones: A Day in the Life,2015,,,Duncan Muggoch;Christopher Newman;Michael Slovis;Bernadette Caulfield
8059,I Am a Fugitive from a Chain Gang,1932,Mervyn LeRoy,Robert E. Burns;Howard J. Green;Brown Holmes;Sheridan Gibney,Paul Muni;Glenda Farrell;Helen Vinson;Noel Francis
8060,Fellini Satyricon,1969,Federico Fellini,Federico Fellini;Petronius;Bernardino Zapponi;Brunello Rondi,Martin Potter;Hiram Keller;Max Born;Salvo Randone
8061,Black Dawn,2005,Alexander Gruszynski,,Steven Seagal;Tamara Davies;John Pyper-Ferguson;Julian Stone
8062,Time After Time,1979,Nicholas Meyer,Nicholas Meyer,Malcolm McDowell;David Warner;Mary Steenburgen;Charles Cioffi
8063,Kamikaze Girls,2004,Tetsuya Nakashima,Nobara Takemoto;Tetsuya Nakashima,Kyoko Fukada;Anna Tsuchiya;Hiroyuki Miyasako;Sadao Abe
8064,28 Days,2000,Betty Thomas,Susannah Grant,Sandra Bullock;Viggo Mortensen;Dominic West;Elizabeth Perkins
8065,Class of 1999,1990,Mark L. Lester,Mark L. Lester;C. Courtney Joyner,Bradley Gregg;Traci Lind;Malcolm McDowell;Stacy Keach
8066,Alice Through the Looking Glass,1998,John Henderson,Nick Vivian,Kate Beckinsale;Geoffrey Palmer;Ian Holm;Steve Coogan
8067,Fire Twister,2015,,,
8068,Mercenaries,2014,Christopher Ray,Edward DeRuiter,Zoë Bell;Kristanna Loken;Vivica A. Fox;Brigitte Nielsen
8069,The Great Raid,2005,John Dahl,,Benjamin Bratt;Robert Mammone;Max Martini;James Carpinello
8070,Human Nature,2001,Michel Gondry,Charlie Kaufman,Patricia Arquette;Tim Robbins;Rhys Ifans;Miranda Otto
8071,Jingle All the Way 2,2014,Alex Zamm,Stephen Mazur,Larry the Cable Guy;Brian Stepanek;Kirsten Robek;Lindsay Maxwell
8072,Texas Killing Fields,2011,Ami Canaan Mann,Don Ferrarone,Sam Worthington;Jessica Chastain;Chloë Grace Moretz;Jeffrey Dean Morgan
8073,Beautiful and Twisted,2015,Christopher Zalla,Teena Booth;Stephen Kay;Inon Shampanier;Natalie Shampanier,Rob Lowe;Paz Vega;Candice Bergen;Seychelle Gabriel
8074,The Wonders,2014,Alice Rohrwacher,Alice Rohrwacher,Monica Bellucci;Alba Rohrwacher;Margarete Tiesel;André Hennicke
8075,The Blood on Satan's Claw,1971,Piers Haggard,Robert Wynne-Simmons,Patrick Wymark;Linda Hayden;Barry Andrews;James Hayter
8076,Mea Culpa,2014,Fred Cavayé,Fred Cavayé;Guillaume Lemans,Vincent Lindon;Gilles Lellouche;Nadine Labaki;Gilles Cohen
8077,Clash of the Titans,1981,Desmond Davis,Beverley Cross,Laurence Olivier;Claire Bloom;Maggie Smith;Jack Gwillim
8078,Iron Monkey,1993,Yuen Woo-Ping,Lau Daai-Muk;Cheung Tan;Elsa Tang;Tsui Hark,Yu Rong-Guang;Donnie Yen;Jean Wang;Angie Tsang Sze-Man
8079,Blind Dating,2006,James Keach,Christopher Theo,Chris Pine;Anjali Jay;Stephen Tobolowsky;Jane Seymour
8080,White Heat,1949,Raoul Walsh,Ivan Goff;Ben Roberts;Virginia Kellogg,James Cagney;Virginia Mayo;Edmond O'Brien;Margaret Wycherly
8081,Age of Heroes,2011,Adrian Vitoria,Ed Scates;Adrian Vitoria,Sean Bean;Izabella Miko;Danny Dyer;James D'Arcy
8082,The Brave Little Toaster,1987,Jerry Rees,Thomas M. Disch;Jerry Rees;Joe Ranft,Jon Lovitz;Timothy Stack;Phil Hartman;Deanna Oliver
8083,Quadrophenia,1979,Franc Roddam,Martin Stellman;Dave Humphries;Franc Roddam,Phil Daniels;Leslie Ash;Philip Davis;Mark Wingett
8084,The Throne,2015,Joon-ik Lee,,Yoo Ah-In;Moon Geun-Young;Song Kang-ho;Jin Ji-hee
8085,Miss Pettigrew Lives for a Day,2008,Bharat Nalluri,Simon Beaufoy;David Magee,Frances McDormand;Amy Adams;Lee Pace;Ciarán Hinds
8086,Dragstrip,2015,Daniel Claridge;Pacho Velez,,
8087,4Closed,2013,Nick Lyon,Geoff Meed,Marlee Matlin;James Denton;Christina DeRosa;Jamie Kennedy
8088,Princess Protection Program,2009,Allison Liddi-Brown,Annie DeYoung,Selena Gomez;Demi Lovato;Jamie Chung;Nicholas Braun
8089,I Am Here,2014,Anders Morgenthaler,Anders Morgenthaler,Kim Basinger;Jordan Prentice;Sebastian Schipper;Peter Stormare
8090,Hollywood Homicide,2003,Ron Shelton,Ron Shelton;Robert Souza,Harrison Ford;Josh Hartnett;Lena Olin;Bruce Greenwood
8091,L'Eclisse,1962,Michelangelo Antonioni,Michelangelo Antonioni;Tonino Guerra,Alain Delon;Monica Vitti;Francisco Rabal;Lilla Brignone
8092,Supermensch: The Legend of Shep Gordon,2014,Mike Myers;Beth Aala,,Shep Gordon;Alice Cooper;Sylvester Stallone;Anne Murray
8093,Pigs,2007,Karl DiPelino,Karl DiPelino;Chris Ragonetti,Jefferson Brown;Darryn Lucio;Christopher Elliott;Melanie Marden
8094,Copacabana,2010,Marc Fitoussi,Marc Fitoussi,Isabelle Huppert;Aure Atika;Lolita Chammah;Jurgen Delnaet
8095,Six Cents in the Pocket,2015,Ricky D'Ambrose,,Michael Wetherbee;Tallie Medel
8096,One Piece Movie 05: Curse of the Sacred Sword,2004,Kazuhisa Takenôchi,Eiichiro Oda,Kazuya Nakai;Mayumi Tanaka
8097,Moonstruck,1987,Norman Jewison,John Patrick Shanley,Cher;Nicolas Cage;Vincent Gardenia;Olympia Dukakis
8098,Arianna,2015,Carlo Lavagna,Carlo Lavagna;Carlo Salsa;Chiara Barzini,Ondina Quadri;Massimo Popolizio;Valentina Carnelutti;Corrado Sassi
8099,Secret,1999,Yôjirô Takita,Keigo Higashino;Hiroshi Saito ,Ryoko Hirosue;Kaoru Kobayashi;Ken Kaneko;Yuriko Ishida
8100,The Middle Distance,2015,Patrick Underwood,Patrick Underwood,Ross Partridge;Joslyn Jensen;Kentucker Audley;Jennifer Lafleur
8101,Kolya,1996,Jan Svěrák,Zdeněk Svěrák,Andrei Chalimon;Zdeněk Svěrák;Libuše Šafránková;Ondřej Vetchý
8102,A Touch of Sin,2013,Jia Zhangke,Jia Zhangke,Jiang Wu;Wang Baoqiang;Zhao Tao;Lanshan Luo
8103,Twice Born,2012,Sergio Castellitto,Margaret Mazzantini;Sergio Castellitto,Penélope Cruz;Emile Hirsch;Adnan Haskovic;Pietro Castellitto
8104,The Last of Robin Hood,2014,Richard Glatzer;Wash Westmoreland,Richard Glatzer;Wash Westmoreland,Dakota Fanning;Susan Sarandon;Kevin Kline;Patrick St. Esprit
8105,Spider,2002,David Cronenberg,Patrick McGrath,Ralph Fiennes;Miranda Richardson;Gabriel Byrne;Lynn Redgrave
8106,April Rain,2014,Luciano Saber,Luciano Saber,Ryan Guzman;Ming-Na Wen;Ally Walker;Luke Goss
8107,Extracted,2012,Nir Paniry,Nir Paniry,Sasha Roiz;Jenny Mollen;Dominic Bogart;Richard Riehle
8108,The Ewok Adventure,1984,John Korty,George Lucas,Aubree Miller;Burl Ives;Daniel Frishman;Guy Boyd
8109,The Count of Monte-Cristo,1975,David Greene,Alexandre Dumas père;Sidney Carroll,Richard Chamberlain;Kate Nelligan;Isabelle De Valvert;Tony Curtis
8110,Outpost: Black Sun,2012,Steve Barker,Rae Brunton,Catherine Steadman;Richard Coyle;Ali Craig;Nick Nevern
8111,Allan Quatermain and the Lost City of Gold,1986,Gary Nelson,,Richard Chamberlain;Sharon Stone;James Earl Jones;Henry Silva
8112,Dragon Ball Z: Super Android 13,1992,,Akira Toriyama,Masako Nozawa;Kōhei Miyauchi;Mayumi Tanaka;Kazuyuki Sogabe
8113,Bedways,2010,Rolf Peter Kahl,Rolf Peter Kahl,Miriam Mayet;Lana Cooper;Matthias Faust;Arno Frisch
8114,Assault on Precinct 13,1976,John Carpenter,John Carpenter,Austin Stoker;John Carpenter;Darwin Joston;Laurie Zimmer
8115,Stone,2010,John Curran,Angus MacLachlan,Frances Conroy;Robert De Niro;Edward Norton;Milla Jovovich
8116,The Lady from Shanghai,1947,Orson Welles,Orson Welles;Sherwood King;William Castle;Charles Lederer;Fletcher Markle,Rita Hayworth;Orson Welles;Everett Sloane;Glenn Anders
8117,Double Whammy,2001,Tom DiCillo,Tom DiCillo,Denis Leary;Elizabeth Hurley;Luis Guzmán;Victor Argo
8118,God's Not Dead,2014,Harold Cronk,Hunter Dennis;Chuck Konzelman,Kevin Sorbo;Shane Harper;David A.R. White;Dean Cain
8119,The Great Gatsby,1974,Jack Clayton,Francis Ford Coppola;F. Scott Fitzgerald,Robert Redford;Mia Farrow;Bruce Dern;Karen Black
8120,Altitude,2010,Kaare Andrews,Paul A. Birkett,Jessica Lowndes;Julianna Guill;Ryan Donowho;Landon Liboiron
8121,The Loved Ones,2010,Sean Byrne,Sean Byrne,Xavier Samuel;Jessica McNamee;Robin McLeavy;Victoria Thaine
8122,Easy Money,1983,James Signorelli,Rodney Dangerfield,Rodney Dangerfield;Joe Pesci;Geraldine Fitzgerald;Candice Azzara
8123,Ivan Vasilyevich Changes His Profession,1973,Leonid Gayday ,Vladlen Bakhnov;Leonid Gayday ,Aleksandr Demyanenko;Yuriy Yakovlev;Leonid Kuravlyov;Mikhail Pugovkin
8124,Deadly Drive-in Disaster,2015,Arjan Wilschut,,
8125,Sarah's Key,2010,Gilles Paquet-Brenner,Tatiana De Rosnay;Serge Joncour;Gilles Paquet-Brenner,Kristin Scott Thomas;Niels Arestrup;Frédéric Pierrot;Michel Duchaussoy
8126,Concerning the Bodyguard,2015,Kasra Farahani,Donald Barthelme,Junes Zahdi
8127,Bratz,2007,Sean McNamara,,Logan Browning;Janel Parrish;Nathalia Ramos;Skyler Shaye
8128,The Way of the Gun,2000,Christopher McQuarrie,,Benicio del Toro;Ryan Phillippe;Juliette Lewis;James Caan
8129,Love & Basketball,2000,Gina Prince-Bythewood,Gina Prince-Bythewood,Chris Warren, Jr.;Kyla Pratt;Sanaa Lathan;Omar Epps
8130,Little Witch Academia: The Enchanted Parade,2015,Yoh Yoshinari,,Michiyo Murase;Megumi Han;Fumiko Orikasa;Yōko Hikasa
8131,Bird of Prey,2015,Jelle Brunt;David de Rooij,,
8132,KKK: The Fight for White Supremacy,2015,Dan Murdoch,,Dan Murdoch
8133,Captain Ron,1992,Thom Eberhardt,John Dwyer;Thom Eberhardt,Kurt Russell;Martin Short;Mary Kay Place;Benjamin Salisbury
8134,Zebra Lounge,2001,Kari Skogland,Monte Montgomery;Claire Montgomery,Kristy Swanson;Stephen Baldwin;Brandy Ledford;Cameron Daddo
8135,Black Moon,1975,Louis Malle,Louis Malle,Cathryn Harrison; Therese Giehse;Alexandra Stewart;Joe Dallesandro
8136,Switch,2011,Frédéric Schoendoerffer,Jean-Christophe Grangé,Eric Cantona;Karine Vanasse;Mehdi Nebbou;Aurélien Recoing
8137,Tekken: Blood Vengeance,2011,Youichi Mouri,Dai Sato,Maaya Sakamoto;Yuki Matsuoka;Mamoru Miyano;Masanori Shinohara
8138,Wristcutters: A Love Story,2006,Goran Dukic,Etgar Keret;Goran Dukic,Patrick Fugit;Shannyn Sossamon;Shea Whigham;Leslie Bibb
8139,Children of the Corn 666: Isaac's Return,1999,Kari Skogland,Tim Sulka;John Franklin,John Franklin;Natalie Ramsey;Paul Popowich;Nancy Allen
8140,Love Is in the Air,2015,Alexandre Castagnetti,Vincent Angell;Nirina Ralanto,Ludivine Sagnier;Nicolas Bedos;Jonathan Cohen;Arnaud Ducret
8141,I Hope They Serve Beer in Hell,2009,Bob Gosse,Tucker Max,Matt Czuchry;Jesse Bradford;Marika Dominczyk;Traci Lords
8142,The Howling,1981,Joe Dante,Gary Brandner;Terence H. Winkless;John Sayles,Patrick Macnee;Dennis Dugan;Christopher Stone;Belinda Balaski
8143,Daddy Day Camp,2007,Fred Savage,Geoff Rodkey;J. David Stem;David N. Weiss,Cuba Gooding Jr.;Tamala Jones;Paul Rae;Lochlyn Munro
8144,The Taking of Deborah Logan,2014,Adam Robitel,Adam Robitel;Gavin Heffernan,Jill Larson;Anne Ramsay;Michelle Ang;Ryan Cutrona
8145,The ABCs of Death 2,2014,Chris Nash;Rodney Ascher;Bill Plympton;Erik Matti;Lancelot Oduwa Imasuen;Kristina Buozyte;Bruno Samper;Vincenzo Natali;Larry Fessenden;Marcus Dunstan;Julien Maury;Alexandre Bustillo;E.L. Katz;Sylvia Soska;Jen Soska;Aharon Keshales;Navot Papushado;Julian Gilbey;Dennison Ramalho;Jerome Sable;Robert Morgan;Hajime Ohata;Sôichi Umezawa,Robert Boocheck;Alejandro Brugués;Jeff Buhler;Alexandre Bustillo;David Chirchirillo;Julian Gilbey;Jeremy Gillespie;Toby Harvard;Jim Hosking;Juan Martínez Moreno;Julien Maury;Nicholas Musurca;Hajime Ohata;Jerome Sable;Jen Soska;Sylvia Soska;Sôichi Umezawa;Marc Walkow,Eric Jacobus;Julian Barratt;Ian Virgo;Miguel Ángel Muñoz
8146,How to Deal,2003,Clare Kilner,Sarah Dessen;Neena Beber,Mandy Moore;Trent Ford;Allison Janney;Alexandra Holden
8147,Green Card,1990,Peter Weir,Peter Weir,Gérard Depardieu;Andie MacDowell;Bebe Neuwirth;Gregg Edelman
8148,Dr. Dolittle: Million Dollar Mutts,2009,Alex Zamm,Daniel Altiere;Steven Altiere,Kyla Pratt;Jason Bryden;Doron Bell;Curtis Caravaggio
8149,The Ledge,2011,Matthew Chapman,Matthew Chapman,Patrick Wilson;Liv Tyler;Charlie Hunnam;Terrence Howard
8150,The Wall - The Final Days,2008,Thomas Berger,Silke Zertz,Anja Kling;Hans Werner Meyer;Lino Sliskovic;Heiner Lauterbach
8151,One in the Chamber,2012,William Kaufman,Benjamin Shahrabani;Derek Kolstad,Dolph Lundgren;Cuba Gooding Jr.;Leo Gregory;Billy Murray
8152,Paper Heart,2009,Nicholas Jasenovec,Nicholas Jasenovec;Charlyne Yi,Michael Cera;Charlyne Yi;Jake Johnson;Gill Summers
8153,The Music Never Stopped,2011,Jim Kohlberg,Gwyn Lurie;Gary Marks,J.K. Simmons;Julia Ormond;Cara Seymour;Mía Maestro
8154,A Chorus Line,1985,Richard Attenborough,Arnold Schulman,Michael Douglas;Vicki Frederick;Janet Jones;Yamil Borges
8155,Dumplings,2004,Fruit Chan,Fruit Chan;Lillian Lee Pik-Wah,Bai Ling;Miriam Yeung;Tony Leung Ka-Fai;Pauline Lau
8156,Nowhere in Africa,2001,Caroline Link,Caroline Link;Susanne Liebetrau;Stefanie Zweig,Juliane Köhler;Merab Ninidze;Sidede Onyulo;Matthias Habich
8157,Damsels in Distress,2012,Whit Stillman,Whit Stillman,Greta Gerwig;Adam Brody;Aubrey Plaza;Analeigh Tipton
8158,Hesher,2010,Spencer Susser,Spencer Susser;Brian Charles Frank;David Michôd,Natalie Portman;Joseph Gordon-Levitt;Rainn Wilson;Audrey Wasilewski
8159,Fear Over the City,1975,Henri Verneuil,Henri Verneuil,Jean-Paul Belmondo;Charles Denner;Rosy Varte;Lea Massari
8160,The Aftermath,2015,Thorkell August Ottarsson,Thorkell August Ottarsson,Hulda Elira Thorkelsdottir;Camilla Gunnerud;Dag-Arne Johansen;Mathilde Langfeldt
8161,Eaters,2015,,,
8162,The Dawns Here are Quiet,2015,Renat Davletyarov,Yuri Korotkov,Pyotr Fyodorov;Anastasiya Mikulchina;Evgenia Malakhova;Kristina Asmus
8163,The Retrieval,2013,Chris Eska,Chris Eska,Ashton Sanders;Tishuan Scott;Keston John;Christine Horn
8164,The Phantom Carriage,1921,Victor Sjöström,Selma Lagerlöf;Victor Sjöström,Victor Sjöström;Hilda Borgström;Tore Svennberg;Astrid Holm
8165,The Land Before Time VI: The Secret of Saurus Rock,1998,Charles Grosvenor,Libby Hinson;John Loy,Thomas Dekker;Kenneth Mars;Anndi McAfee;Aria Curzon
8166,Werner - Eiskalt!,2011,Gernot Roll;Rötger Feldmann,Rötger Feldmann;Thomas Platt,Rötger Feldmann;Andi Feldmann;Klaus Büchner
8167,The Little Vampire,2000,Uli Edel,,Richard E. Grant;Jonathan Lipnicki;Jim Carter;Alice Krige
8168,Juice,1992,Ernest R. Dickerson,Ernest R. Dickerson;Gerard Brown,Omar Epps;Tupac Shakur;Khalil Kain;Jermaine 'Huggy' Hopkins
8169,Our Summer in Provence,2014,Rose Bosch,Rose Bosch,Jean Reno;Anna Galiena;Chloé Jouannet;Hugo Dessioux
8170,The Big Year,2011,David Frankel,Howard Franklin,Owen Wilson;Steve Martin;Jack Black;Rashida Jones
8171,The Librarians (Strike Force),2004,Mike Kirton,,William Forsythe;Erika Eleniak;Andrew Divoff;Matthias Hues
8172,Vicky and the Treasure of the Gods,2011,Christian Ditter,Christian Ditter;Neil Ennever,Jonas Hämmerle;Waldemar Kobus;Valeria Eisenbart;Nic Romm
8173,The Discreet Charm of the Bourgeoisie,1972,Luis Buñuel,Luis Buñuel;Jean-Claude Carrière,Fernando Rey;Delphine Seyrig;Paul Frankeur;Bulle Ogier
8174,And God Created Woman,1956,Roger Vadim,Raoul Lévy;Roger Vadim,Brigitte Bardot;Jean-Louis Trintignant;Curd Jürgens;Jane Marken
8175,Lost in the Sun,2015,Trey Nelson,Trey Nelson,Josh Duhamel;Josh Wiggins;Lynn Collins;Emma Fuhrmann
8176,Breathless,2012,Jesse Baget,Jesse Baget,Gina Gershon;Kelli Giddish;Val Kilmer;Ray Liotta
8177,Ghosts of Mississippi,1996,Rob Reiner,Lewis Colick,Alec Baldwin;James Woods;Virginia Madsen;Whoopi Goldberg
8178,Anomalisa,2015,Duke Johnson;Charlie Kaufman,Charlie Kaufman,Jennifer Jason Leigh;David Thewlis;Tom Noonan
8179,The Unsinkable Molly Brown,1964,Charles Walters,Helen Deutsch;Richard Morris,Debbie Reynolds;Harve Presnell;Ed Begley;Jack Kruschen
8180,Iron Man & Hulk: Heroes United,2013,Eric Radomski;Leo Riley,Henry Gilroy;Brandon Auman,Adrian Pasdar;Fred Tatasciore;Dee Bradley Baker;Robin Atkin Downes
8181,Fearless Hyena,1979,Jackie Chan;Kenneth Tsang,,Jackie Chan;James Tien;Hui Lou Chen;Shi-Kwan Yen
8182,Jeff, Who Lives at Home,2011,Mark Duplass;Jay Duplass,Jay Duplass;Mark Duplass,Jason Segel;Ed Helms;Susan Sarandon;Judy Greer
8183,Unknown,2006,Simon Brand,Matthew Waynee,Jim Caviezel;Greg Kinnear;Bridget Moynahan;Joe Pantoliano
8184,Wasp,2015,Phillipe Audi-Dor,,Hugo Bolton;Simon Haycock;Elly Condron
8185,Curve,2015,Iain Softley,Kimberly Lofstrom Johnson;Lee Patterson,Julianne Hough;Teddy Sears;Madalyn Horcher
8186,The Batman Superman Movie: World's Finest,1998,Toshihiko Masuda,Stan Berkowitz,Tim Daly;Kevin Conroy;Dana Delany;Clancy Brown
8187,Exodus,1960,Otto Preminger,Leon Uris;Dalton Trumbo,Paul Newman;Eva Marie Saint;Lee J. Cobb;Ralph Richardson
8188,Marmaduke,2010,Tom Dey,Tim Rasmussen;Vince Di Meglio,Owen Wilson;Emma Stone;George Lopez;Raugi Yu
8189,The Roommate,2011,Christian E. Christiansen,Sonny Mallhi;Chris Bylsma;Nick Bylsma;Richard Robertson,Minka Kelly;Leighton Meester;Cam Gigandet;Aly Michalka
8190,Take This Waltz,2012,Sarah Polley,Sarah Polley,Michelle Williams;Seth Rogen;Luke Kirby;Sarah Silverman
8191,Campo Grande,2015,Sandra Kogut,Felipe Sholl;Sandra Kogut,Carla Ribas;Julia Bernat
8192,Lake Placid,1999,Steve Miner,David E. Kelley,Bill Pullman;Bridget Fonda;Oliver Platt;Brendan Gleeson
8193,Mr. Mom,1983,Stan Dragoti,John Hughes,Michael Keaton;Teri Garr;Fred Koehler;Taliesin Jaffe
8194,Final Analysis,1992,Phil Joanou,Wesley Strick;Robert Berger,Richard Gere;Kim Basinger;Uma Thurman;Eric Roberts
8195,Slipstream,2005,David van Eyssen,,Sean Astin;Ivana Miličević;Vinnie Jones;Grant Swanby
8196,Private Resort,1985,George Bowers,Gordon Mitchell,Johnny Depp;Rob Morrow;Héctor Elizondo;Andrew Dice Clay
8197,Surviving with Wolves,2007,Véra Belmont,Véra Belmont;Misha Defonseca,Mathilde Goffart;Yaël Abecassis;Guy Bedos;Michèle Bernier
8198,Money Train,1995,Joseph Ruben,Doug Richardson,Wesley Snipes;Woody Harrelson;Jennifer Lopez;Robert Blake
8199,The Order,2001,Sheldon Lettich,Les Weldon;Jean-Claude Van Damme,Jean-Claude Van Damme;Brian Thompson;Charlton Heston;Sofia Milos
8200,Napoleon and Me,2006,Paolo Virzì,Francesco Bruni;Furio Scarpelli;Giacomo Scarpelli;Paolo Virzì,Daniel Auteuil;Monica Bellucci;Elio Germano;Sabrina Impacciatore
8201,Somebody Up There Likes Me,1956,Robert Wise,Ernest Lehman;Rocky Graziano,Paul Newman;Pier Angeli;Everett Sloane;Eileen Heckart
8202,Alien Abduction,2014,Matty Beckerman,Robert Lewis,Katherine Sigimund;Corey Eid;Riley Polanski;Jillian Clare
8203,Detective Conan: Skyscraper on a Timer,1997,Kenji Kodama,Kazunari Kouchi,Minami Takayama;Kappei Yamaguchi;Akira Kamiya;Wakana Yamazaki
8204,From Afar,2015,Lorenzo Vigas,Guillermo Arriaga,Alfredo Castro;Luis Silva;Jericó Montilla;Catherina Cardozo
8205,The Exchange Student,1967,Jean Girault,Jean Girault;Jacques Vilfrid,Louis de Funès;Ferdy Mayne;Martine Kelly;François Leccia
8206,Ride of Passage,2012,Christian Bøving-Andersen,,
8207,Eight Days a Week,1997,Michael Davis,Michael Davis,Keri Russell;Joshua Schaefer;R.D. Robb;Mark L. Taylor
8208,Satantango,1994,Béla Tarr,Béla Tarr;László Krasznahorkai,Mihály Vig;Putyi Horváth;László feLugossy;Éva Almássy Albert
8209,Fear,1983,Gerald Kargl,Zbigniew Rybczynski;Gerald Kargl,Erwin Leder;Robert Hunger-Bühler;Silvia Rabenreither;Karin Springer
8210,The In-Laws,2003,Andrew Fleming,Andrew Bergman;Nat Mauldin;Ed Solomon,Michael Douglas;Albert Brooks;Ryan Reynolds;Candice Bergen
8211,Against the Dark,2009,Richard Crudo,Mathew Klickstein,Steven Seagal;Linden Ashby;Jenna Harrison;Danny Midwinter
8212,Mrs Brown,1997,John Madden,Jeremy Brock,Judi Dench;Billy Connolly;Geoffrey Palmer;Antony Sher
8213,31,2015,Rob Zombie,Rob Zombie,
8214,Barbarella,1968,Roger Vadim,Roger Vadim;Jean-Claude Forest;Claude Brulé;Terry Southern;Vittorio Bonicelli;Clement Biddle Wood;Brian Degas;Tudor Gates,Jane Fonda;John Phillip Law;Anita Pallenberg;Marcel Marceau
8215,Day of the Dead,2008,Steve Miner,Jeffrey Reddick;George A. Romero,Mena Suvari;Nick Cannon;Michael Welch;AnnaLynne McCord
8216,The Continent,2014,Han Han,,William Feng;Bolin Chen;Wallace Chung;Joe Chen
8217,Phantasm,1979,Don Coscarelli,Don Coscarelli,Angus Scrimm;A. Michael Baldwin;Bill Thornbury;Reggie Bannister
8218,Half Baked,1998,Tamra Davis,Dave Chappelle;Neal Brennan,Dave Chappelle;Tommy Chong;Harland Williams;Guillermo Díaz
8219,King Solomon's Mines,1985,J. Lee Thompson,H. Rider Haggard;Gene Quintano;James R. Silke,Richard Chamberlain;Sharon Stone;Herbert Lom;John Rhys-Davies
8220,Raw Justice,1994,David A. Prior,David A. Prior,Robert Hays;David Keith;Pamela Anderson;Leo Rossi
8221,Red Cliff Part II,2009,John Woo,John Woo;Guanzhong Luo,Tony Leung Chiu-Wai;Takeshi Kaneshiro;Zhang Fengyi;Zhao Wei
8222,A Fighting Man,2014,Damian Lee,Damian Lee,Famke Janssen;James Caan;Kim Coates;Dominic Purcell
8223,Dr. Wai in 'The Scripture with No Words',1996,Ching Siu-Tung,Lun Ah;Sandy Shaw;Sze-To Cheuk-Hon,Jet Li;Rosamund Kwan;Takeshi Kaneshiro;Charlie Yeung
8224,The Skulls,2000,Rob Cohen,John Pogue,Joshua Jackson;Paul Walker;Hill Harper;Leslie Bibb
8225,The Birdcage,1996,Mike Nichols,Elaine May,Robin Williams;Gene Hackman;Nathan Lane;Dianne Wiest
8226,Outland,1981,Peter Hyams,Peter Hyams,Sean Connery;Peter Boyle;Frances Sternhagen;James Sikking
8227,Süsser September,2015,Florian Froschmyer,,Caroline Peters;Mišel Matičević;Regula Grauwiller;Samuel Schneider
8228,Mississippi Mermaid,1969,François Truffaut,François Truffaut,Jean-Paul Belmondo;Catherine Deneuve;Michel Bouquet;Nelly Borgeaud
8229,Elite Yankee Saburo,2009,,,
8230,Gnomes,1980,Jack Zander;Lars Calonius,,Kjell Bergqvist;Fillie Lyckow
8231,Suspension of Disbelief,2012,Mike Figgis,Mike Figgis,Sebastian Koch;Lotte Verbeek;Emilia Fox;Rebecca Night
8232,To the Arctic,2012,Greg MacGillivray,Stephen Judson,Meryl Streep
8233,Bare Naked Desires,2006,J.W. McHausen,,Kaylani Lei;Nina Mercedez;Mika Tan;Joe Souza
8234,The Robert Cray Band: 4 Nights of 40 Years Live,2015,,,Robert Cray
8235,Lead with Your Heart,2015,Bradley Walsh,J.B. White,William Baldwin;Kari Matchett
8236,,,,,
8237,Rio Lobo,1970,Howard Hawks,Burton Wohl;Leigh Brackett,John Wayne;Jorge Rivero;Jennifer O'Neill;Jack Elam
8238,Survivor,2014,John Lyde,John Lyde,Danielle Chuchran;Kevin Sorbo;Paul D. Hunt;Nicola Posener
8239,10 Items or Less,2006,Brad Silberling,Brad Silberling,Paz Vega;Morgan Freeman;Bobby Cannavale;Anne Dudek
8240,Shadow of the Vampire,2000,E. Elias Merhige,Steven Katz,John Malkovich;Willem Dafoe;Udo Kier;Cary Elwes
